id,page_id,data_type_code
2415,2635,PDF
2429,2780,PDF
2452,19054,PDF
2467,18918,PDF
2507,2813,PDF
2535,3834,PDF
2547,3823,PPT
2553,2470,PDF
2575,3632,DOC
2638,20455,DOC
2650,20456,PDF
2657,20461,PDF
2667,20492,PDF
2686,20519,PDF
2695,20517,PDF
2728,20528,PDF
2740,20542,DOC
2796,20553,PDF
2817,20557,PDF
2826,20575,PDF
2840,20620,PDF
2861,20647,PDF
431,574,PDF
449,589,DOC
467,7696,PDF
479,7735,DOC
492,7742,DOC
516,7359,PDF
536,7421,PDF
533,7330,PDF
568,7891,DOC
592,3909,DOC
637,3234,PDF
656,9173,PDF
672,9181,PDF
697,9574,PDF
724,9594,PDF
738,9640,PDF
764,9653,PDF
774,9684,PDF
777,9652,PDF
780,9523,PDF
798,9505,PDF
800,9518,PDF
833,9545,PDF
843,9719,PDF
853,9724,PDF
876,9686,PDF
882,9699,PDF
907,10370,PDF
913,9437,PDF
933,9705,PDF
952,10657,PDF
984,1503,PDF
988,1497,PDF
1017,10950,DOC
1031,10955,DOC
1058,10968,DOC
1072,11039,DOC
1093,1506,PDF
1140,3917,PDF
1141,1509,PDF
1202,14080,PDF
1205,1998,DOC
1218,2000,PDF
1226,3383,DOC
1238,14554,DOC
1246,14587,PDF
1261,14560,PDF
1302,14621,PDF
1313,14631,PDF
1330,14598,PDF
1358,14657,PDF
1398,14802,PDF
1422,15335,PDF
1442,15361,PDF
1446,15370,DOC
1467,15357,PDF
1477,15708,PDF
1482,15378,PDF
1566,16051,PDF
1576,16081,PDF
1583,16052,DOC
1636,15416,DOC
1675,15517,PDF
1632,15536,PDF
1648,15560,PDF
1713,16028,DOC
1726,16048,DOC
1741,15823,PDF
1768,15815,PDF
1799,15780,PDF
1829,15917,DOC
1814,15911,DOC
1840,15901,PDF
1849,15579,DOC
1863,15576,PDF
1898,15649,DOC
1905,15670,DOC
1922,16221,DOC
1931,16269,DOC
1948,3950,DOC
1956,3936,DOC
1974,3994,PDF
1973,3962,PDF
1998,3989,PDF
2051,3958,PDF
2076,16785,PDF
2097,4047,DOC
2106,17708,PDF
2120,4119,PDF
2122,4141,PPT
2134,3282,PDF
2146,4113,PDF
2161,18416,PDF
2167,18419,PDF
2177,3780,PDF
2189,18425,PDF
2213,18468,PDF
2250,3813,PDF
2265,18450,PDF
2288,18507,PDF
2306,18515,PDF
2314,18525,PDF
2344,18545,PDF
2402,18795,PDF
2431,18933,DOC
2444,19081,PDF
2466,18907,PDF
2482,19248,PDF
2483,19268,DOC
2506,2813,PDF
2508,2813,PDF
2529,3638,PDF
2555,2471,PDF
2585,20312,DOC
2608,20348,PDF
2623,20393,PDF
2645,20440,PDF
2683,20523,PDF
2722,20588,PDF
2723,20588,PDF
2750,20554,DOC
2805,20566,PDF
2788,20582,PDF
2819,20582,PDF
2843,20618,PDF
2857,20633,DOC
2856,20632,PDF
2878,20676,PDF
2887,20681,PDF
2899,20691,DOC
432,574,PDF
452,611,PDF
483,7739,DOC
493,7348,PDF
504,7357,PDF
538,7174,DOC
551,7162,DOC
561,7385,PDF
569,7888,PDF
576,3446,DOC
591,3909,DOC
597,3909,DOC
635,3234,PDF
642,9132,DOC
650,9170,PDF
673,9181,PDF
698,9572,PDF
742,9677,DOC
767,9687,DOC
772,9687,DOC
851,9723,PDF
866,9657,PDF
881,9708,PDF
911,9656,PDF
915,1903,DOC
934,9705,PDF
942,10659,PDF
969,1499,PDF
986,1497,PDF
1002,10663,PDF
1024,10950,DOC
1048,10953,DOC
1073,11045,DOC
1094,11219,PDF
1128,1515,PDF
1130,1948,DOC
1138,1508,PDF
1208,2002,PDF
1216,2004,PDF
1224,3382,PDF
1259,14576,PDF
1269,14565,PDF
1288,14579,PDF
1314,14634,PDF
1326,14615,PDF
1348,14630,PDF
1372,14629,PDF
1380,14643,PDF
1385,14730,DOC
1394,14766,DOC
